timestamp,gate_set,benchmark_mode,num_qubits,total_gates,tape_avg,tape_std,tape_min,tape_max,tape_mem_avg,tape_mem_std,tape_mem_min,tape_mem_max,qps_avg,qps_std,qps_min,qps_max,qps_mem_avg,qps_mem_std,qps_mem_min,qps_mem_max,qbest_avg,qbest_std,qbest_min,qbest_max,qbest_mem_avg,qbest_mem_std,qbest_mem_min,qbest_mem_max
2026-07-18T20:32:37.349588,clifford,gradient,12,10,0.0005467112641781569,2.6108323700978065e-05,0.0005209492519497871,0.0005855485796928406,0.025481224060058594,0.0010341079841443544,0.024709701538085938,0.027257919311523438,0.002439174335449934,5.3957643810402815e-05,0.0023870691657066345,0.0025281235575675964,0.08388042449951172,0.01865945787917022,0.0668325424194336,0.1125936508178711,0.004228625912219286,0.00025677277685860295,0.004026064649224281,0.004663075320422649,0.2590336799621582,0.12098751869489063,0.1701974868774414,0.4647054672241211
2026-07-18T20:32:38.522742,clifford,gradient,12,14,0.0016734534874558449,0.001789090011448117,0.0006055738776922226,0.004771655425429344,0.06086325645446777,0.05192499556528212,0.029275894165039062,0.15076923370361328,0.003523200983181596,0.0012441500133665566,0.0025798920542001724,0.00565804447978735,0.1260359287261963,0.04395888166546556,0.0759420394897461,0.18418312072753906,0.005370724713429809,0.0005626374164302742,0.004745399579405785,0.006237523630261421,0.5018939971923828,0.2910015011590147,0.21297836303710938,0.9559354782104492
2026-07-18T20:32:39.815144,clifford,gradient,12,21,0.004400250967592001,0.0038344641726290075,0.0007400587201118469,0.009685580618679523,0.1858353614807129,0.14503352799301064,0.040618896484375,0.33956432342529297,0.0055345233995467424,0.002347528303804671,0.003280049189925194,0.00877210684120655,0.24570512771606445,0.0917630720274433,0.1332550048828125,0.3446187973022461,0.00776091474108398,0.0008883798594203672,0.006702736020088196,0.009139052592217922,1.5762462615966797,0.6925935383424165,0.7009620666503906,2.3921337127685547
2026-07-18T20:32:41.302595,clifford,gradient,12,30,0.008959268918260932,0.0023296634049598773,0.007427561096847057,0.012983460910618305,0.2872040271759033,0.06462605892367798,0.2006063461303711,0.36086463928222656,0.009078086586669087,0.0011482251765070801,0.008116279728710651,0.011034182272851467,0.2845726013183594,0.058187246771519735,0.20168113708496094,0.34299659729003906,0.01023025275208056,0.0009358824665218785,0.00917123630642891,0.011547715403139591,2.1073825359344482,0.883540092042839,0.983551025390625,3.062432289123535
2026-07-18T20:32:43.107488,clifford,gradient,12,43,0.016342319548130035,0.0069416605121481526,0.010100738145411015,0.027155186980962753,0.37784242630004883,0.055660863219025594,0.2958965301513672,0.4468069076538086,0.014363982249051332,0.004431822611336995,0.010186765342950821,0.02148071490228176,0.3785388469696045,0.05204209905790302,0.3061656951904297,0.4532918930053711,0.014625451061874628,0.0005655509186809256,0.013666522689163685,0.015118169598281384,3.6015872955322266,0.7168107908013422,2.372197151184082,4.155464172363281
2026-07-18T20:32:45.470173,clifford,gradient,12,62,0.03376068454235792,0.00970030491868851,0.024160274304449558,0.04812710452824831,0.49513983726501465,0.04219222310348325,0.45134925842285156,0.5535507202148438,0.026126980083063245,0.0062503836631039745,0.019074752926826477,0.035501642152667046,0.47667503356933594,0.04805948497066086,0.42519474029541016,0.5264730453491211,0.02106381068006158,0.00041297745534624603,0.02041264809668064,0.021556533873081207,5.6754655838012695,0.2599831465184191,5.313523292541504,5.990215301513672
2026-07-18T20:32:48.834170,clifford,gradient,12,89,0.06218143878504634,0.016509408512499067,0.03545159101486206,0.0804037805646658,0.6632587909698486,0.07817907657248652,0.5329551696777344,0.7412290573120117,0.04481944255530834,0.009748012318544936,0.02961048111319542,0.05644889175891876,0.6492898464202881,0.07173956815450641,0.5364408493041992,0.7301654815673828,0.030493868747726083,0.00039794387002384853,0.02982311975210905,0.0307993208989501,8.0740065574646,0.3173023093872757,7.528144836425781,8.302668571472168
2026-07-18T20:32:53.707433,clifford,gradient,12,127,0.1199636294040829,0.05163268159098236,0.07114681042730808,0.20574274193495512,0.963160514831543,0.2109215945773819,0.7513427734375,1.3087272644042969,0.08275611395947635,0.030455611185212436,0.05430282186716795,0.13279967289417982,0.9233536720275879,0.20053222117169944,0.7160844802856445,1.245100975036621,0.04220489249564707,0.0010218408492426061,0.04053737595677376,0.043250275775790215,11.417397022247314,0.4013438568886336,10.982002258300781,12.056034088134766
2026-07-18T20:33:01.523398,clifford,gradient,12,183,0.3432582684326917,0.12647530658915812,0.1356995664536953,0.4784728055819869,1.8103525638580322,0.43298556138604444,1.0934200286865234,2.2568206787109375,0.21689033997245133,0.07412859846679859,0.09499279037117958,0.2955247713252902,1.7088277339935303,0.42139090166550175,1.0085210800170898,2.136127471923828,0.05981604428961873,0.0014178746987768935,0.05852215085178614,0.062192490324378014,16.50639271736145,0.6754477698938122,15.81045913696289,17.54730987548828
2026-07-18T20:33:19.267934,clifford,gradient,12,264,1.1563353512901813,0.2731243695277929,0.7644273396581411,1.5199870010837913,4.5049474239349365,0.8840080468105337,3.272733688354492,5.734650611877441,0.7105784567538649,0.16683023150897094,0.4726660018786788,0.9312733905389905,4.215892553329468,0.8278123208407034,3.0475263595581055,5.351683616638184,0.08528922451660037,0.0013257692488570585,0.0837088217958808,0.08705218695104122,23.783663272857666,0.4941503164379415,23.23059844970703,24.48579978942871
