timestamp,gate_set,benchmark_mode,num_qubits,total_gates,tape_avg,tape_std,tape_min,tape_max,tape_mem_avg,tape_mem_std,tape_mem_min,tape_mem_max,qnode_avg,qnode_std,qnode_min,qnode_max,qnode_mem_avg,qnode_mem_std,qnode_mem_min,qnode_mem_max
2026-07-18T20:30:17.193797,clifford,execution,10,10,0.0013722507283091545,9.84769220573309e-05,0.0012327367439866066,0.001510576345026493,0.06150245666503906,0.00830330781754871,0.055988311767578125,0.07586288452148438,0.001471101539209485,5.737272819525878e-05,0.0013918913900852203,0.0015531722456216812,0.05782175064086914,0.00816171645213318,0.05216789245605469,0.07191085815429688
2026-07-18T20:30:17.907972,clifford,execution,10,14,0.0015862600412219763,8.419208650139734e-05,0.0014941291883587837,0.0017233770340681076,0.08415341377258301,0.01445085682021797,0.0648651123046875,0.09828376770019531,0.0016846267972141504,7.941507892137606e-05,0.0015945928171277046,0.0017983131110668182,0.07994270324707031,0.015570178308060416,0.0595703125,0.09527015686035156
2026-07-18T20:30:18.647181,clifford,execution,10,21,0.0018645217642188072,0.00016986740733986462,0.001711767166852951,0.002136864699423313,0.10412335395812988,0.0072011230059695905,0.09317493438720703,0.11289405822753906,0.0019866947550326586,0.0001389739473460852,0.001823856495320797,0.0021833060309290886,0.09744405746459961,0.007411728472955398,0.08526611328125,0.104705810546875
2026-07-18T20:30:19.380649,clifford,execution,10,30,0.0023585704620927572,0.0003656791105524609,0.002030756324529648,0.002977011725306511,0.11851763725280762,0.005301566678802547,0.11303901672363281,0.12702274322509766,0.002457690192386508,0.000289870244376195,0.0022270502522587776,0.0029525412246584892,0.10904192924499512,0.003755971525665309,0.10575103759765625,0.1153106689453125
2026-07-18T20:30:20.168758,clifford,execution,10,43,0.002799439476802945,8.022938482695896e-05,0.0026845354586839676,0.002891610376536846,0.1294095516204834,0.0010003326195286287,0.12838459014892578,0.13089370727539062,0.0028317212127149105,0.00010885252471046676,0.0026981793344020844,0.0029656309634447098,0.11533570289611816,0.000762800673439279,0.11461257934570312,0.11649894714355469
2026-07-18T20:30:20.962317,clifford,execution,10,62,0.00363418972119689,0.00018268456414789484,0.0034463508054614067,0.003909138031303883,0.1404743194580078,0.003489357355791407,0.13671302795410156,0.14398765563964844,0.003708584699779749,0.00014770275422078445,0.0035672681406140327,0.003920901566743851,0.12239861488342285,0.003735483156366166,0.11841011047363281,0.12615108489990234
2026-07-18T20:30:21.856896,clifford,execution,10,89,0.005311342654749751,0.0009665852050989836,0.00459247175604105,0.0069715715944767,0.16883015632629395,0.003857047694765461,0.16249752044677734,0.1725444793701172,0.004883609712123871,0.00015400964414873054,0.004719335585832596,0.005065003409981728,0.142561674118042,0.003941758808245329,0.1360340118408203,0.14615249633789062
2026-07-18T20:30:22.850390,clifford,execution,10,127,0.006509833270683885,9.729440455066338e-05,0.006344846449792385,0.006588132120668888,0.2032947540283203,0.0030855110064859836,0.19875335693359375,0.20653820037841797,0.0065324867609888315,0.00023164190579478405,0.006195389665663242,0.006770459935069084,0.17012906074523926,0.002817095768117627,0.16582107543945312,0.17299842834472656
2026-07-18T20:30:23.935196,clifford,execution,10,183,0.011822011321783066,0.004020941097824222,0.0084055345505476,0.018336541950702667,0.25148534774780273,0.003204708596809039,0.24798965454101562,0.25588130950927734,0.008848186815157533,0.00022981527934301402,0.008529078215360641,0.009167296811938286,0.2016150951385498,0.0033163432586321147,0.19828414916992188,0.20612525939941406
2026-07-18T20:30:25.232029,clifford,execution,10,264,0.01204339461401105,0.00014974043710056252,0.011805251240730286,0.012218302115797997,0.31994009017944336,0.005435819352553636,0.31171417236328125,0.32552337646484375,0.012359593762084842,0.00012823449321584503,0.012180005200207233,0.012482170015573502,0.2568535804748535,0.005481787393635796,0.24849700927734375,0.26227378845214844
2026-07-18T20:30:26.748790,clifford,execution,10,379,0.01708343275822699,0.0009553541275252801,0.016402458772063255,0.018715078942477703,0.4274711608886719,0.004211287295355442,0.4221916198730469,0.43245410919189453,0.01802586787380278,0.0009806434844886192,0.017352628521621227,0.019720256328582764,0.33311939239501953,0.004449604504592239,0.3271827697753906,0.3383064270019531
2026-07-18T20:30:28.614486,clifford,execution,10,546,0.024700326845049858,0.002415157574968939,0.022996562533080578,0.028864332474768162,0.5635037422180176,0.005033295568088503,0.555659294128418,0.5696353912353516,0.02377661340869963,0.0004285574444397744,0.023153429850935936,0.024304847232997417,0.44214773178100586,0.005220275115917401,0.433929443359375,0.44838714599609375
2026-07-18T20:30:30.928210,clifford,execution,10,785,0.03346266457810998,0.0003490147745105665,0.033137980848550797,0.034014840610325336,0.7708408832550049,0.006128688303147713,0.7616119384765625,0.7786140441894531,0.0340367176104337,0.0005912474184682992,0.03326457366347313,0.03491621557623148,0.5854597091674805,0.0061574836536851104,0.5763168334960938,0.5934619903564453
2026-07-18T20:30:33.944490,clifford,execution,10,1129,0.04729623603634536,0.00030895551172166285,0.04687426518648863,0.047670939937233925,1.0061969757080078,0.0032610425054672883,1.0006771087646484,1.0088834762573242,0.04880668222904205,0.001428800776793555,0.0473799305036664,0.05117322690784931,0.7959499359130859,0.00314276566690053,0.790771484375,0.7992115020751953
2026-07-18T20:30:37.831386,clifford,execution,10,1624,0.06847970024682581,0.001728393323167223,0.06723837461322546,0.07143031619489193,1.396327018737793,0.0075149205129639955,1.3896808624267578,1.408843994140625,0.06966870022006333,0.0014786508449425484,0.06807705760002136,0.07205577753484249,1.172445297241211,0.006613172701428809,1.1652069091796875,1.1823158264160156
2026-07-18T20:30:43.104435,clifford,execution,10,2336,0.09789893473498523,0.0008574467543954677,0.09653041791170835,0.0988167179748416,1.8798716068267822,0.008388670760551577,1.8675975799560547,1.8910942077636719,0.09884875803254545,0.0010286501061649166,0.09769839141517878,0.10048161540180445,1.6372737884521484,0.008840722943645131,1.6234550476074219,1.6478023529052734
2026-07-18T20:30:50.310627,clifford,execution,10,3360,0.1416089585982263,0.0010158144166306496,0.14009577687829733,0.14272117149084806,2.6662886142730713,0.008571089845839963,2.6577253341674805,2.6755714416503906,0.14193875482305884,0.0011307073773416164,0.14027095399796963,0.14330620039254427,2.4058127403259277,0.008722070825433711,2.3967647552490234,2.414531707763672
2026-07-18T20:31:00.231081,clifford,execution,10,4833,0.20226605725474656,0.0016322149539696783,0.19970767386257648,0.20411857403814793,3.6290042400360107,0.012676770948853855,3.6089773178100586,3.642740249633789,0.2049502325244248,0.0016474269416913334,0.20308891963213682,0.2066372772678733,3.366483688354492,0.012597552210009466,3.3460845947265625,3.378986358642578
2026-07-18T20:31:14.943171,clifford,execution,10,6952,0.2926860332954675,0.0036564303956585194,0.2868680767714977,0.29696182254701853,5.224893808364868,0.009991839339891753,5.212993621826172,5.2407073974609375,0.29031544318422675,0.0025593889486252353,0.2870084084570408,0.29419515933841467,4.950913429260254,0.009100178254411829,4.940055847167969,4.965061187744141
2026-07-18T20:31:35.420019,clifford,execution,10,10000,0.421692309435457,0.0019397730377784543,0.41839373856782913,0.4233696572482586,7.225947380065918,0.012425230581637654,7.213486671447754,7.241776466369629,0.4213638461660594,0.0032410241803455756,0.41705477610230446,0.42541158478707075,6.9344964027404785,0.012421805431458568,6.922458648681641,6.950868606567383
