timestamp,gate_set,benchmark_mode,num_qubits,total_gates,qc_avg,qc_std,qc_min,qc_max,est_avg,est_std,est_min,est_max,estt_avg,estt_std,estt_min,estt_max
2026-06-07T13:48:11.725710,non_clifford,execution,10,10,0.0013114499979565153,1.2432320514374985e-05,0.0012978999948245473,0.001331600004050415,0.0023640249983145623,5.4485794931603654e-05,0.0023199999995995313,0.002457399998093024,0.003048549997402006,2.7495681459449522e-05,0.0030104999968898483,0.0030813999983365647
2026-06-07T13:48:12.325707,non_clifford,execution,10,16,0.002181624999138876,8.146251644993536e-05,0.0020912000036332756,0.002273799997055903,0.0036063000006834045,7.177468159292206e-05,0.0034879000013461336,0.0036806999996770173,0.0036753250005858717,0.00012265784276779845,0.0035104000053252093,0.0038564999995287508
2026-06-07T13:48:12.979707,non_clifford,execution,10,26,0.0030266249996202532,0.00010891894682735292,0.0029350999975576997,0.0032095999995362945,0.010432349999973667,0.010039813059310242,0.004347700007201638,0.027815499997814186,0.004594374999214779,0.0001561718487521005,0.004324100002122577,0.0046931999968364835
2026-06-07T13:48:13.604708,non_clifford,execution,10,43,0.004984674998922856,0.00022717977863127213,0.004798299996764399,0.005372799998440314,0.006169375001263688,8.923369064759566e-05,0.0060434000042732805,0.006281499998294748,0.005656699997416581,8.779074422402588e-05,0.0055664000028627925,0.005801599996630102
2026-06-07T13:48:14.270710,non_clifford,execution,10,70,0.00704247499925259,0.00011648354768125938,0.006903599998622667,0.007226599998830352,0.008880225001121289,0.00017566128586461372,0.008738299999095034,0.009173500002361834,0.007938525001009111,0.0001717698654451419,0.007736999999906402,0.00820219999877736
2026-06-07T13:48:14.992451,non_clifford,execution,10,113,0.010551149998718756,0.00010691703533533139,0.010450599998875987,0.010717199998907745,0.012935149999975692,0.00041132663555050084,0.012409800001478288,0.013400299998465925,0.011942650000491994,0.0004561066591346841,0.011551600000530016,0.012671799995587207
2026-06-07T13:48:15.797539,non_clifford,execution,10,183,0.017002274997139466,0.00033857724731044156,0.016574399996898137,0.01751489999878686,0.01837859999977809,0.00010695683525252082,0.018246600004204083,0.018544899998232722,0.016730974999518367,0.00042947144683008786,0.016039999994973186,0.017217799999343697
2026-06-07T13:48:16.855500,non_clifford,execution,10,298,0.030089074998613796,0.0003151936397912896,0.02965970000514062,0.030523599998559803,0.029814749997967738,0.001367349886611433,0.028335499999229796,0.03167770000436576,0.026177375002589542,0.00044048230074200705,0.02574330000061309,0.026910300002782606
2026-06-07T13:48:18.078537,non_clifford,execution,10,483,0.044870100002299296,0.000599689747757358,0.04425730000366457,0.04556790000060573,0.04536247499709134,0.00081240893925903,0.044752299996616784,0.04676130000007106,0.04065255000023171,0.00027468606105939263,0.04033250000065891,0.041074000000662636
2026-06-07T13:48:19.710577,non_clifford,execution,10,785,0.06950800000231538,0.0011867243420919172,0.06753320000279928,0.07070070000190753,0.07386572499854083,0.0010688952312152033,0.07276969999657013,0.07543520000035642,0.0642214999988937,0.0005093851620066674,0.06354280000232393,0.06487669999478385
